                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                 1.5387,                 1.7393,                 1.6653,                0.57327,                0.30427,                0.34618,                0.17465,                 1.8189,                 1.8072,                   1.87,               0.001882,               0.001882,               0.001882
                     85,                 1.5383,                 1.7327,                 1.6622,                0.54397,                0.31165,                0.34593,                 0.1756,                 1.8245,                  1.803,                 1.8741,               0.001783,               0.001783,               0.001783
                     86,                 1.5373,                 1.7287,                 1.6652,                0.44764,                0.32409,                0.34968,                0.17845,                 1.8204,                 1.7922,                 1.8728,               0.001684,               0.001684,               0.001684
                     87,                 1.5288,                 1.7246,                 1.6603,                0.45159,                0.33612,                0.34269,                0.17521,                   1.82,                 1.7889,                 1.8713,               0.001585,               0.001585,               0.001585
                     88,                 1.5253,                 1.7179,                 1.6518,                0.47159,                  0.324,                0.34704,                0.17647,                 1.8184,                 1.7885,                 1.8689,               0.001486,               0.001486,               0.001486
                     89,                 1.5176,                 1.7028,                 1.6458,                0.49037,                0.31632,                0.34005,                 0.1726,                 1.8183,                 1.7846,                 1.8702,               0.001387,               0.001387,               0.001387
                     90,                 1.5269,                  1.716,                 1.6625,                0.47028,                0.32708,                0.34305,                0.17205,                 1.8179,                 1.7876,                 1.8728,               0.001288,               0.001288,               0.001288
                     91,                 1.5901,                 1.6756,                 1.7156,                0.47461,                0.32389,                0.34269,                0.17383,                 1.8173,                 1.7765,                 1.8719,               0.001189,               0.001189,               0.001189
                     92,                 1.5708,                 1.6294,                 1.7052,                0.46896,                0.34011,                 0.3469,                0.17741,                 1.8149,                 1.7715,                 1.8717,                0.00109,                0.00109,                0.00109
                     93,                  1.561,                 1.6227,                 1.7044,                0.47016,                 0.3378,                0.35288,                0.17924,                 1.8139,                  1.768,                 1.8718,               0.000991,               0.000991,               0.000991
                     94,                 1.5596,                 1.6014,                 1.6934,                0.48975,                0.33321,                0.35682,                0.18103,                 1.8129,                 1.7653,                 1.8711,               0.000892,               0.000892,               0.000892
                     95,                 1.5494,                 1.5927,                 1.6894,                0.49132,                0.33423,                0.35131,                0.17811,                 1.8139,                 1.7649,                 1.8743,               0.000793,               0.000793,               0.000793
                     96,                 1.5476,                 1.5844,                 1.6872,                0.49676,                0.33522,                0.35214,                0.17981,                  1.815,                  1.763,                 1.8761,               0.000694,               0.000694,               0.000694
                     97,                 1.5358,                 1.5886,                 1.6835,                0.50705,                0.33586,                 0.3549,                0.18032,                 1.8172,                 1.7601,                 1.8782,               0.000595,               0.000595,               0.000595
                     98,                 1.5359,                 1.5695,                 1.6747,                  0.498,                0.34115,                  0.355,                0.18054,                 1.8179,                 1.7589,                 1.8785,               0.000496,               0.000496,               0.000496
                     99,                  1.536,                 1.5747,                 1.6788,                0.50365,                 0.3333,                0.35575,                0.18235,                 1.8205,                 1.7594,                 1.8807,               0.000397,               0.000397,               0.000397
                    100,                 1.5227,                 1.5478,                  1.667,                0.51976,                0.32501,                   0.36,                0.18432,                 1.8216,                 1.7596,                 1.8817,               0.000298,               0.000298,               0.000298
