                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                 1.8774,                  1.614,                 1.4854,                0.44974,                0.22765,                0.24643,                0.09765,                 2.4158,                  1.985,                 1.1876,               0.005149,               0.005149,               0.005149
                     52,                 1.8957,                 1.6294,                 1.4906,                0.48487,                0.25838,                0.24875,                0.09915,                 2.3905,                 2.0329,                 1.1815,                0.00505,                0.00505,                0.00505
                     53,                 1.8818,                 1.6047,                 1.4949,                 0.4893,                0.26117,                0.26134,                0.10235,                 2.3745,                 1.9347,                  1.165,               0.004951,               0.004951,               0.004951
                     54,                 1.8812,                 1.5942,                 1.4755,                0.41291,                0.25559,                0.24131,                0.09591,                 2.3632,                  1.978,                 1.1666,               0.004852,               0.004852,               0.004852
                     55,                 1.8676,                  1.592,                  1.475,                0.45437,                0.26676,                0.25629,                0.09792,                 2.3988,                 1.9674,                 1.1788,               0.004753,               0.004753,               0.004753
                     56,                 1.8718,                 1.5796,                 1.4734,                0.39866,                0.28073,                0.26285,                0.09821,                 2.4267,                 1.9368,                 1.1592,               0.004654,               0.004654,               0.004654
                     57,                 1.8758,                 1.5812,                 1.4733,                0.39783,                0.25559,                0.24076,                0.09246,                 2.3735,                 2.0086,                  1.147,               0.004555,               0.004555,               0.004555
                     58,                 1.8595,                 1.5769,                 1.4733,                0.43411,                0.27235,                0.25948,                 0.0972,                  2.413,                 1.9426,                 1.1743,               0.004456,               0.004456,               0.004456
                     59,                 1.8469,                 1.5605,                 1.4553,                0.43721,                0.25559,                0.23787,                 0.0919,                  2.389,                 2.0626,                 1.1765,               0.004357,               0.004357,               0.004357
                     60,                 1.8506,                  1.567,                 1.4606,                0.43317,                0.24548,                0.24385,                0.09705,                 2.3696,                 2.0015,                 1.1633,               0.004258,               0.004258,               0.004258
                     61,                  1.848,                   1.57,                  1.466,                0.42938,                0.26816,                0.26311,                0.10349,                 2.3126,                 1.9556,                 1.1381,               0.004159,               0.004159,               0.004159
                     62,                 1.8398,                 1.5441,                 1.4548,                0.42372,                 0.2865,                0.27533,                 0.1009,                 2.3578,                 1.9068,                 1.1505,                0.00406,                0.00406,                0.00406
                     63,                 1.8341,                 1.5323,                 1.4491,                0.45298,                0.29145,                0.28079,                0.11036,                 2.3167,                 1.8731,                 1.1383,               0.003961,               0.003961,               0.003961
                     64,                 1.8395,                 1.5411,                 1.4553,                0.43094,                0.28771,                0.26904,                 0.0995,                 2.3566,                 1.9501,                 1.1356,               0.003862,               0.003862,               0.003862
                     65,                 1.8387,                 1.5377,                 1.4421,                0.41888,                0.27235,                0.25922,                 0.1029,                 2.3433,                 1.9487,                 1.1301,               0.003763,               0.003763,               0.003763
                     66,                 1.8286,                 1.5245,                 1.4359,                0.46927,                0.26816,                0.26244,                0.09953,                 2.3556,                 1.9104,                 1.1447,               0.003664,               0.003664,               0.003664
                     67,                  1.819,                 1.5074,                 1.4374,                0.45739,                0.26117,                 0.2429,                0.09187,                 2.4217,                 2.0058,                 1.1595,               0.003565,               0.003565,               0.003565
                     68,                  1.813,                 1.4887,                  1.432,                0.45397,                0.28492,                0.27684,                0.10516,                 2.4066,                 1.9165,                 1.1539,               0.003466,               0.003466,               0.003466
                     69,                 1.8048,                 1.4935,                 1.4272,                0.43765,                0.29749,                0.28113,                0.10831,                 2.3636,                 1.9077,                 1.1378,               0.003367,               0.003367,               0.003367
                     70,                 1.8076,                 1.4787,                 1.4326,                0.47003,                0.27374,                0.27733,                0.10696,                 2.3823,                 1.9407,                 1.1489,               0.003268,               0.003268,               0.003268
                     71,                 1.8131,                  1.482,                  1.423,                0.47245,                0.25516,                0.25763,                 0.1019,                 2.4068,                 1.9807,                 1.1586,               0.003169,               0.003169,               0.003169
                     72,                  1.799,                 1.4711,                 1.4141,                0.45948,                 0.2905,                0.29189,                0.11354,                 2.4104,                 1.8996,                 1.1529,                0.00307,                0.00307,                0.00307
                     73,                 1.8053,                 1.4828,                 1.4172,                0.50228,                0.29175,                0.30007,                0.11479,                 2.3728,                 1.8711,                 1.1497,               0.002971,               0.002971,               0.002971
                     74,                 1.8065,                 1.4821,                 1.4169,                0.50462,                0.29609,                0.29912,                0.11567,                 2.3706,                 1.8677,                 1.1419,               0.002872,               0.002872,               0.002872
                     75,                 1.7974,                 1.4563,                 1.4157,                0.46886,                0.28727,                0.28501,                0.11029,                 2.3561,                 1.8775,                 1.1399,               0.002773,               0.002773,               0.002773
                     76,                  1.789,                 1.4532,                 1.4196,                0.44811,                0.28124,                0.27766,                0.10789,                 2.3731,                 1.8707,                 1.1464,               0.002674,               0.002674,               0.002674
                     77,                  1.773,                 1.4349,                 1.4076,                0.45932,                0.27095,                0.27714,                0.10523,                 2.3978,                 1.9223,                 1.1654,               0.002575,               0.002575,               0.002575
                     78,                 1.7687,                  1.424,                  1.407,                0.47937,                0.29469,                0.29355,                0.11115,                 2.3886,                 1.8571,                  1.161,               0.002476,               0.002476,               0.002476
                     79,                 1.7797,                 1.4417,                 1.4039,                0.49327,                0.28771,                0.29272,                0.11225,                 2.3868,                 1.8509,                 1.1702,               0.002377,               0.002377,               0.002377
                     80,                 1.7744,                 1.4155,                 1.3988,                0.49926,                0.28073,                0.29081,                0.11198,                 2.3735,                  1.884,                 1.1736,               0.002278,               0.002278,               0.002278
                     81,                 1.7579,                 1.4141,                 1.3918,                0.46327,                0.28352,                0.28059,                0.10977,                  2.348,                 1.9089,                 1.1553,               0.002179,               0.002179,               0.002179
                     82,                 1.7697,                 1.4076,                 1.3968,                0.49362,                0.28073,                 0.2827,                0.10837,                 2.3674,                 1.9122,                 1.1575,                0.00208,                0.00208,                0.00208
                     83,                 1.7531,                 1.4009,                 1.3922,                0.50463,                0.28212,                0.28705,                 0.1125,                 2.3708,                 1.9046,                 1.1701,               0.001981,               0.001981,               0.001981
                     84,                 1.7494,                 1.3942,                  1.388,                0.46904,                0.28771,                 0.2836,                 0.1108,                 2.3433,                 1.9065,                 1.1532,               0.001882,               0.001882,               0.001882
                     85,                 1.7419,                 1.3847,                 1.3885,                0.48197,                0.27793,                0.28852,                0.11476,                 2.3278,                 1.8733,                 1.1477,               0.001783,               0.001783,               0.001783
                     86,                 1.7408,                  1.371,                  1.381,                  0.503,                0.28771,                0.29739,                0.11736,                 2.3323,                 1.8516,                 1.1373,               0.001684,               0.001684,               0.001684
                     87,                  1.739,                 1.3761,                 1.3897,                0.53853,                0.28631,                0.30702,                0.11961,                 2.3383,                 1.8228,                 1.1409,               0.001585,               0.001585,               0.001585
                     88,                 1.7425,                 1.3678,                 1.3809,                0.51302,                 0.2933,                0.30406,                0.11883,                 2.3345,                 1.8352,                 1.1402,               0.001486,               0.001486,               0.001486
                     89,                 1.7357,                  1.368,                 1.3773,                0.51302,                0.28631,                0.29555,                0.11287,                 2.3754,                 1.8837,                 1.1504,               0.001387,               0.001387,               0.001387
                     90,                 1.7197,                 1.3597,                 1.3714,                0.52244,                0.27654,                0.29008,                0.11213,                 2.3767,                 1.8808,                 1.1425,               0.001288,               0.001288,               0.001288
                     91,                 1.7245,                 1.3241,                 1.3972,                0.50178,                0.28631,                0.29816,                0.11481,                 2.3754,                 1.8585,                 1.1383,               0.001189,               0.001189,               0.001189
                     92,                 1.7076,                 1.2906,                  1.389,                 0.5099,                 0.2933,                0.30512,                0.11747,                 2.3634,                 1.8353,                 1.1486,                0.00109,                0.00109,                0.00109
                     93,                 1.7114,                 1.2936,                 1.3936,                0.51437,                0.29888,                0.30623,                0.11638,                 2.3697,                 1.8412,                 1.1457,               0.000991,               0.000991,               0.000991
                     94,                 1.6938,                 1.2648,                 1.3812,                0.51661,                0.30307,                0.30849,                0.11749,                 2.3752,                 1.8357,                 1.1462,               0.000892,               0.000892,               0.000892
                     95,                 1.6842,                 1.2628,                 1.3789,                 0.5226,                 0.2933,                0.30586,                0.11677,                 2.3849,                 1.8455,                 1.1454,               0.000793,               0.000793,               0.000793
                     96,                 1.6753,                 1.2472,                 1.3759,                0.53084,                 0.2919,                0.30642,                0.11491,                 2.3948,                 1.8521,                   1.14,               0.000694,               0.000694,               0.000694
                     97,                 1.6719,                 1.2393,                 1.3667,                0.51826,                0.29749,                0.30598,                0.11442,                 2.4008,                 1.8465,                 1.1406,               0.000595,               0.000595,               0.000595
                     98,                 1.6644,                 1.2365,                 1.3664,                0.52312,                0.29469,                0.30613,                 0.1157,                 2.4077,                 1.8327,                 1.1414,               0.000496,               0.000496,               0.000496
                     99,                  1.659,                  1.241,                 1.3687,                0.51994,                0.29609,                 0.3099,                0.11668,                 2.4198,                 1.8263,                  1.145,               0.000397,               0.000397,               0.000397
                    100,                 1.6559,                 1.2197,                 1.3619,                0.50912,                0.29888,                0.30929,                0.11579,                 2.4112,                 1.8318,                 1.1457,               0.000298,               0.000298,               0.000298
